Input1,Input2,Output
95,32,48
46,30,92
144,19,93
19,93,29
92,20,146
36,71,23
18,117,22
142,19,86
26,100,17
17,158,17
17,154,15
118,21,63
47,24,92
137,16,82
50,35,28
16,82,23
106,15,160
82,23,45
26,60,18
60,18,98
30,28,46
93,17,58
17,58,21
46,19,68
11,183,11
68,15,93
183,11,202
132,13,100
20,21,22
7,215,5
7,4,55
55,71,34
28,79,47
71,34,95
79,47,48
34,95,35
49,47,81
101,33,73
103,31,74
31,76,47
49,41,87
41,87,28
29,110,30
110,30,79
45,42,84
42,84,26
43,42,80
42,80,26
121,24,96
26,123,23
24,96,35
23,102,31
35,50,64
27,121,21
20,128,23
109,20,135
128,23,77
135,22,91
77,36,38
139,19,107
44,59,24
19,125,22
129,18,140
55,47,28
114,18,150
19,88,28
150,18,112
28,43,53
72,20,131
16,137,19
16,156,16
104,17,156
80,28,40
18,132,15
51,22,96
17,89,24
89,24,46
30,62,19
130,17,75
37,25,68
68,17,118
38,24,65
170,12,129
24,65,16
14,81,17
107,12,156
182,11,155
12,156,11
11,155,11
49,23,32
17,77,13
11,115,12
32,30,23
197,9,192
82,12,64
9,192,8
192,8,195
10,148,9
132,8,66
15,14,25
5,165,7
7,80,12
7,201,10
38,20,74
128,11,173
169,11,114
63,23,34
34,37,21
67,20,39
11,141,10
141,10,175
10,175,8
10,149,9
175,8,196
8,207,7
17,30,12
207,7,193
131,6,172
10,48,11
193,7,86
11,16,19
7,86,8
6,255,5
255,5,2
4,7,8
6,57,46
16,56,64
56,64,46
46,66,48
46,59,58
66,48,60
48,60,60
58,50,69
67,51,58
60,60,50
53,54,67
74,46,66
46,66,58
46,65,59
52,75,43
59,49,78
43,79,47
79,47,61
79,48,60
80,50,59
46,86,41
86,41,79
59,71,41
88,41,78
79,51,55
91,40,78
55,75,39
75,39,95
78,52,50
39,95,38
37,97,37
52,50,83
54,47,85
98,37,74
47,85,34
45,87,33
33,72,51
93,29,118
29,118,29
49,41,90
82,45,43
45,43,83
27,91,38
126,26,99
127,24,106
99,35,52
52,65,29
28,123,22
32,56,56
22,126,27
64,49,32
30,107,21
32,95,21
36,80,22
80,22,135
20,117,25
117,25,62
24,122,18
134,20,79
18,148,19
20,79,32
104,18,151
25,52,44
22,116,18
36,61,21
21,113,16
19,76,28
114,20,62
86,16,141
13,154,14
14,103,18
103,18,61
33,45,20
15,136,12
