X1,X2,Y
4,2.4,2425.699951
11,3.3,5223.379883
3,1.8,1445.920044
0.7,0.21,950.909973
3,2.7,3270.830078
2,1.2,540.130005
2,1.2,1224.949951
8,2.4,4019.72998
4,2.4,2245.01001
9.5,8.55,5222.680176
0.7,0.63,1047.449951
0.5,0.15,159.630005
0.7,0.42,732
1.5,1.35,554.719971
4,1.2,1655.150024
8,2.4,3747.969971
0.7,0.42,355.320007
0.9,0.54,415.019989
8,7.2,6111.27002
5,1.5,2049.149902
0.7,0.21,229.559998
0.6,0.36,332.559998
0.7,0.42,876.530029
0.9,0.54,774
3,1.8,764.960022
0.7,0.42,841.179993
0.6,0.18,253.160004
0.6,0.36,271.980011
0.5,0.45,289.970001
0.9,0.54,439.029999
0.6,0.18,177.039993
3,2.7,2239.76001
6.5,3.9,3495.550049
0.7,0.42,855.619995
5,1.5,2124.76001
6.5,5.85,3728
11,3.3,5186.810059
1.5,0.9,1270.430054
9.5,8.55,7631.450195
8,4.8,5667.910156
2.5,0.75,376.070007
8,7.2,6454.339844
4,1.2,2172.370117
0.8,0.72,909.429993
0.6,0.54,1079.47998
4,3.6,3682.600098
8,4.8,2963.929932
8,4.8,5705.740234
0.6,0.18,167.440002
9.5,8.55,6554
0.8,0.24,406.75
5,1.5,1684.199951
0.7,0.21,172.380005
4,2.4,1828.349976
0.9,0.54,442.019989
4,2.4,2969.23999
9.5,5.7,4060.860107
0.8,0.48,788.789978
0.7,0.21,702.640015
0.8,0.48,144.860001
0.5,0.15,167.600006
0.6,0.54,611.450012
11,6.6,4741.509766
11,3.3,3246.110107
0.9,0.54,270.970001
0.5,0.3,343.959991
0.5,0.3,111.459999
0.7,0.21,683.5
6.5,5.85,4562.140137
11,3.3,3683.870117
5,1.5,2075.060059
0.8,0.24,110.980003
0.6,0.18,457.48999
0.5,0.3,532.880005
8,2.4,4029.899902
5,4.5,3576.219971
2.5,0.75,1556.140015
2,0.6,1094.25
1.5,0.9,1210.560059
6.5,1.95,2623.330078
0.8,0.72,366.320007
0.8,0.72,357.709991
8,4.8,3550.409912
0.7,0.21,654.22998
5,1.5,1660.449951
6.5,1.95,2760.429932
4,1.2,1702.439941
2,0.6,660.090027
9.5,8.55,6547.189941
8,7.2,7071.680176
2.5,0.75,932.469971
0.7,0.63,474.350006
1.5,0.9,449.899994
3,2.7,2243.550049
0.6,0.18,193.520004
2,0.6,479.23999
0.6,0.54,763.400024
11,3.3,6460.560059
5,4.5,4581.52002
5,4.5,3898.27002
0.9,0.81,807.22998
0.5,0.3,236.149994
0.8,0.24,314.890015
4,2.4,1341.680054
0.6,0.36,364.359985
0.7,0.63,520.210022
8,4.8,6775.5
0.6,0.54,439.429993
5,4.5,5152.959961
0.6,0.18,395.369995
0.5,0.3,483.230011
0.6,0.36,526.72998
0.9,0.54,530.159973
2,0.6,1256.910034
8,4.8,4760.830078
2.5,1.5,653.469971
0.7,0.63,457.359985
0.9,0.81,600.039978
0.5,0.15,248.910004
1.5,1.35,854.549988
5,3,4153.990234
0.7,0.42,301.5
0.5,0.15,117.480003
0.5,0.45,219.399994
1.5,0.9,612.22998
5,3,3115.669922
0.6,0.36,454.01001
0.7,0.63,624.409973
4,1.2,775.630005
0.6,0.54,431.410004
0.9,0.27,766.330017
8,7.2,8272.740234
3,1.8,1013.330017
6.5,5.85,5112.240234
0.5,0.3,218.850006
11,3.3,2628.820068
6.5,5.85,6799.410156
0.6,0.54,542.48999
9.5,2.85,5799.240234
5,4.5,4137.709961
0.7,0.42,131.949997
9.5,2.85,4651.810059
4,1.2,2353.110107
0.9,0.27,319.630005
0.6,0.36,574.030029
0.5,0.3,447.529999
1.5,1.35,1830.02002
9.5,5.7,6810.549805
0.9,0.81,413.179993
3,0.9,1827.349976
8,7.2,6474.799805
1.5,1.35,1440.699951
9.5,2.85,3024.689941
0.9,0.54,842.929993
3,2.7,2835.629883
0.5,0.3,486.980011
3,2.7,2535.139893
5,1.5,2806.02002
11,6.6,7570.5
1.5,0.9,988.450012
2.5,0.75,940.049988
0.5,0.45,369.299988
0.7,0.63,842.190002
3,0.9,705.409973
3,1.8,2342.01001
0.7,0.42,1246.170044
2,1.2,525.849976
0.6,0.54,431.410004
1.5,0.9,397.220001
1.5,0.9,389.660004
0.9,0.27,774.130005
0.5,0.3,237.570007
0.6,0.36,300.140015
5,1.5,946.130005
2.5,0.75,1172.72998
3,0.9,1312.819946
4,1.2,1160.719971
0.9,0.27,497.130005
2,0.6,312.579987
1.5,0.9,795.349976
0.5,0.15,95.389999
5,3,2351.889893
0.5,0.45,320.690002
4,3.6,2292.139893
0.6,0.18,265.940002
0.6,0.18,261.51001
0.8,0.24,447.209991
2.5,2.25,1993.040039
0.8,0.48,548.48999
8,2.4,2358.469971
5,3,1636.140015
0.6,0.36,574.030029
0.9,0.54,273.26001
0.5,0.15,203.050003
2,0.6,1079.780029
0.5,0.15,190.789993
3,2.7,3263.080078
4,3.6,3169.97998
0.9,0.27,672.719971
2,0.6,922.5
0.8,0.24,283.619995
0.5,0.3,246.759995
0.7,0.21,675.960022
9.5,8.55,7674.47998
8,2.4,2451.75
0.9,0.54,309.529999
0.5,0.45,444.459991
0.6,0.18,531.390015
0.8,0.24,762.400024
0.6,0.36,156.389999
0.6,0.18,230.410004
