Open,High,Low,Volume,Close
910,910,880,426,897.599976
900,905,895,310,903.650024
910,910,900,336,906.700012
920,925,910,591,916.799988
915,935,910,1623,927.299988
930,933,918,1595,929.049988
934,934,900.150024,586,904.400024
910,917.900024,901,826,910.700012
891,920,885,1265,893.950012
908.900024,909,890.099976,361,896.5
900,910,871.200012,1265,875
890,890,880,552,883.049988
880.099976,883,880,572,881.650024
867,925,867,1293,912.400024
915,915,903,415,907.450012
898,901,880,756,885.5
870,894.900024,870,271,891.400024
864,894.950012,864,423,888.5
900,900,891,355,892
852,884.900024,852,1101,881.700012
884,905,852,2486,897
917,928,890,1657,894.150024
876,898.900024,870,1149,889.75
898,898,883.599976,659,884.950012
876,890,872.25,666,889.400024
850,927,850,1726,914.650024
970,970,893,691,906.099976
906,960.049988,906,5411,949.049988
949.799988,949.799988,894,1071,900.599976
890,920,890,417,907.200012
909,929,909,587,923.900024
922.150024,929.75,910,450,910.450012
891.049988,908.5,891,409,897.349976
897.349976,897.349976,897.349976,0,897.349976
849.900024,919,849.900024,205,908
905,905,894,349,895.799988
889,905,889,333,901.049988
890,913,890,747,906.25
910,925,905.549988,675,911.150024
924,924.700012,902,482,902.5
915,920,902.099976,156,912
910,910,900,2288,901.650024
890.25,900,888.099976,365,890.200012
888,895,888,252,891.900024
899.950012,907.900024,892.200012,323,901.599976
907,911,892,215,897.400024
909.900024,909.900024,890,141,895
899.950012,904,890.049988,210,894.650024
893.150024,914,893.150024,70,898.150024
851,902,851,453,901.400024
840,900,840,636,896.549988
896.549988,896.549988,896.549988,0,896.549988
900,909,900,255,909
900,917,893.5,348,915.950012
906,913.799988,905.049988,202,906.049988
895,912,895,201,907.549988
905,913,905,353,909.549988
905.900024,914,905,910,910.900024
905.049988,914.950012,905.049988,208,908.299988
906,917,906,660,915.5
906,913.5,905,1170,910.25
906,914,906,1038,912.900024
905,914.900024,905,440,914.25
902,915,902,312,913.200012
912,928,912,757,922.950012
920,920,881.549988,369,899.549988
911,911,872.049988,278,878.150024
878.150024,878.150024,878.150024,0,878.150024
890,890,870,319,875.5
876,880,866.099976,133,871.5
875,880,860,102,880
870,887.950012,870,32,878
865,888.700012,865,161,873.849976
870,870,836,314,837.900024
849.950012,852,836.099976,436,838
825,856.950012,825,264,842.5
842.5,842.5,842.5,0,842.5
849.450012,854.950012,840.25,138,850.25
830.099976,853.75,823.400024,231,840.25
779.450012,849.950012,779.450012,191,841.400024
850,851.900024,841,379,848
854,854,848,192,849.400024
844,850,835,104,850
850,860,847,242,860
855,861,848.099976,317,854.849976
850.099976,852,835,123,837.650024
841.900024,841.900024,825,74,825.099976
821,833.900024,815,422,815
816,828,812,185,814.849976
811,840,811,114,837.5
878.900024,878.900024,821.049988,73,858.5
820,844.900024,805,81,844.900024
844.900024,844.900024,844.900024,0,844.900024
845,849.900024,840.049988,49,841.049988
841,852,840.75,369,843.650024
846.950012,846.950012,830,71,836.299988
835,840,832,140,839.450012
840,852.950012,840,126,841.900024
842,844,833,81,843.650024
841,844,837,38,843
879.950012,879.950012,841,366,844.5
844.5,844.5,844.5,0,844.5
850,850,835,183,842.25
838,845,835,35,844
833.25,851,833.25,112,847.099976
850,859.099976,845.200012,401,848.599976
847.150024,853.650024,841,255,846.450012
847.299988,874,847.299988,316,854.950012
856.25,874,856.25,273,869.75
849,869,849,230,853
848.099976,872,848.099976,126,867.200012
870.950012,871,840,870,843.650024
850,850,840,303,849.049988
850.5,878,850.5,1007,873.799988
870,874.900024,863,422,872.25
860,870,850,1458,854.400024
844,864.299988,835,758,863.099976
875,875,855,188,856.599976
857,867,850,123,864.299988
846,865,843.549988,399,862.700012
865,870,862,575,865
872,874,865,425,871
875,887.450012,875,685,881.799988
881.5,914,881.5,1675,904.25
911,941,910,2299,924.900024
940,949,925.150024,1842,934.549988
948.950012,948.950012,910,730,922.200012
922.200012,922.200012,922.200012,0,922.200012
931.950012,931.950012,911,384,913.950012
912,920,880,906,895
900,911.299988,893.049988,754,895.200012
891,910,891,360,909.099976
914.799988,914.849976,900.25,120,908.150024
914.849976,914.849976,895,343,899.950012
897.099976,904.900024,894,126,895.849976
909.75,909.799988,880.150024,135,890.549988
900,900,890,108,892.25
890,901,875,371,880.299988
897.849976,897.849976,878.150024,147,884.450012
881,890,878.25,188,881.599976
880.200012,880.200012,878.25,32,879.150024
881,881,880,131,880.549988
880,888.700012,875,285,886.799988
875,888.650024,875,215,886.299988
884.900024,885,875,66,875
877,880,865,2148,869.700012
880,880,860,743,872.900024
886.900024,889,860,720,866.700012
882.900024,905,864,703,889.599976
865,909,865,1002,888.599976
888,888,850,330,857.5
856,860,856,191,860
861.200012,894.950012,861.200012,522,881.75
899,904,876.150024,833,888.650024
888.450012,896,876,430,890.700012
889,904,886,477,900.299988
900,904,900,432,900.450012
900,902,896,420,901
909.5,910,895,329,900
905,910,883.049988,490,886
870.299988,894.650024,870.099976,155,879.450012
880,884,865,262,871.799988
884,887.099976,870.099976,176,874.799988
874.799988,874.799988,874.799988,0,874.799988
883,888.450012,871,157,884.400024
880,885,872.5,352,875.349976
885,888,862,494,871.799988
879.900024,890,869.099976,390,869.599976
884.900024,889,867.5,425,874.900024
883,883,871,181,873.299988
882,900,880,347,880.549988
893.950012,893.950012,876,1063,890.400024
875,883,875,549,880.450012
875.200012,883.700012,873.099976,337,875.450012
890,900,863,1125,892.5
898.799988,914,886,2043,911.599976
905,909,896,749,899.75
888,904.5,888,195,900.099976
900,922.799988,900,1513,918.650024
910,920,910,968,911.599976
919,938.599976,910,1255,910
900,910,881,890,888.849976
890.049988,904,880,169,880.5
875,882,870,158,870.049988
870.049988,870.049988,870.049988,0,870.049988
863,895,863,275,893
893,893,893,0,893
875.549988,888,875.549988,98,877
854.549988,890,854.549988,124,890
890.049988,907,890.049988,277,902.299988
905,905,900,195,902.299988
890,900,890,79,894.450012
915,920,880,802,885.849976
900,900,863,500,866.849976
896,896.950012,865,668,872.299988
860,872,856.099976,272,856.75
856.549988,882,856.549988,325,873.700012
875.099976,885.849976,871.75,67,872.75
880,880,872.049988,437,879.950012
880,900,875,677,890.099976
898,898,885,175,891.049988
905,905,894.099976,125,895
893,900,890.099976,477,891
899.950012,903.900024,880,1286,896.200012
882,915,881.049988,893,902.150024
null,null,null,null,null
908.900024,969,892,2536,961
935,1057.099976,935,4558,1057.099976
1085,1089.949951,997,4659,1005.849976
1005.849976,1005.849976,1005.849976,0,1005.849976
1005,1015,929.049988,1656,951.400024
964,978.799988,951.5,1420,955.799988
955.049988,964,940,918,943.849976
950,961,942.049988,492,957.549988
937,1053.349976,937,5426,1010
1000,1020,997.200012,972,1000.5
995,1001.950012,979.099976,539,985.450012
990,1039.900024,990,1044,1014.549988
1014.549988,1014.549988,1014.549988,0,1014.549988
1016,1116,1005,5464,1106.75
1020,1150,1020,4127,1112.849976
1060.099976,1105,1060.099976,1264,1083.650024
1140,1140,1041,1261,1053.099976
1088,1088,1039,530,1048
1047,1152.800049,1046,2799,1120.650024
1110,1180,1110,2713,1163.5
1180,1200,1164,1977,1172.25
1180,1240,1150,2645,1198.199951
1195,1215,1175,1282,1188.699951
1204,1204,1180,695,1190.599976
1197,1200,1190,1220,1198.5
1187,1205,1181,2124,1199.699951
1200,1225,1191,2104,1206.75
1183.050049,1220,1180,3793,1191.800049
1200,1275,1196,3915,1263.550049
